Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
81,negative,Nature,张爱玲/同学少年都不贱,免得恩娟对她的手艺没信心。又倒了两杯葡萄牙雪瑞酒，比上不足比下有余。没有桌布，恩娟看了一眼，见镜面纤尘不染，方拿起刀叉。,"A.桌上没有棉麻桌布。
B.桌上没有家纺用品。
C.镜面满是灰尘。
D.恩娟放下刀叉。",A,
82,negative,Nature,人民日报1954年07月24日,我没了父母，我两次立功的喜报没处寄，今天听了王老大娘的报告，越听越像我的母亲，我要将这两张立功喜报献给王妈妈，她就是我的母亲。,"A.我没了父亲。
B.我没了亲人。
C.我要将这两张立功喜报献给李妈妈。
D.我两次立功的喜报都有地方寄。",A,
83,negative,Nature,张爱玲/色戒,平安戏院前面的场地空荡荡的，不是散场时间，也没有三轮车聚集。她正踌躇间，脚步慢了下来，一回头却见对街冉冉来了一辆，老远的就看见把手上拴着一只纸扎红绿白三色小风车。,"A.平安戏院前面的场地上没有人力三轮车聚集。
B.平安戏院前面的场地上没有车聚集。
C.平安戏院前面的场地满是人。
D.车把手上没有小风车。",A,
84,negative,Nature,陈忠实/白鹿原,村里已经变成女人的世界，没有一个成年男人了。没有男人的村巷就显出一种空虚和脆弱。白嘉轩心急如焚，那些被传帖煽动起来的农人肯定已经汇集到三官庙了，而煽动他们的头儿却拔不出脚来，贺家兄弟一怒之下还不带领众人来把他砸成肉坨！,"A.没有强壮男人的村巷就显出一种空虚和脆弱。
B.没有人的村巷就显出一种空虚和脆弱。
C.白嘉轩一点也不着急。
D.村里没有女人。",A,
85,negative,Nature,陈忠实/白鹿原,他在鸡窝里看看鸡没有了，猪圈的栅栏门儿撇在地上没有猪了；他坐在窑院里一块石头上陷入柔情似手的回味，从腰里摸出一把银元从门道底下塞进去；最后在窑院接村路处站住脚，回头再瞥一眼破旧的窑洞的门板和窗户，踏上慢坡的小路离去了。,"A.猪圈里没有黑毛猪。
B.猪圈里没有动物。
C.鸡窝里还有很多鸡。
D.他没有踏上慢坡的小路离去。",A,
86,negative,Nature,陈忠实/霞光灿烂的早晨,诚恳的态度，温和的语气，使我一扫对都市人的偏见和自己心中对于打工的误解，激动中有种万死不辞的决心和挟技自珍的自豪。我没学过教育心理学。,"A.我没学过高级教育心理学。
B.我没学过心理学。
C.诚恳的态度，温和的语气，加重了我对都市人的偏见。
D.我一点也不激动。",A,
87,negative,Nature,人民日报1998年08月13日,其实在武汉，除了街上有水，除了因为积水缘故上班会有人迟到以外，所有的日子都跟以前一样正常，青菜和肉都没怎么涨价。,"A.青菜没怎么涨价。
B.蔬菜没怎么涨价。
C.所有的日子都跟以前不一样了。
D.武汉街上没有水。",A,
88,negative,Nature,人民日报2003年03月20日,比如我国的快餐店里习以为常、屡禁不止的一次性木筷，你在西欧北欧一路走都找不到影子，尽管那里处处林木葱茏。没去过韩国，只听说他们是用钢筷，从没“一次性”这回事。,"A.我没去过首尔。
B.我没去过其他国家。
C.我国的快餐店里看不到一次性筷子。
D.西欧北欧每一处都光秃秃的。",A,
89,negative,Nature,刘震云/一句顶一万句,牛爱国已在部队待了两年，连队有一百多号人，天天在一起，低头不见抬头见，没交上一个知心朋友。,"A.牛爱国没交上一个异性知心朋友
B.牛爱国没交上一个朋友。
C.牛爱国在部队待了一年。
D.连队不足一百人。",A,
90,negative,Nature,刘震云/一句顶一万句,除了小韩演讲，杨百利和牛国兴没上过整课，趁着老师在黑板上写字，偷偷跑出新学，或粘知了，或打鸟，或“喷空”。,"A.除了小韩演讲，杨百利和牛国兴没上过数学整课。
B.除了小韩演讲，杨百利和牛国兴没上过课。
C.杨百利和牛国兴乖乖坐在教室里。
D.杨百利和牛国兴光明正大跑出新学。",A,
91,negative,Nature,刘震云/一地鸡毛,过了两天，还是老婆聪明，把“可口可乐”打开，时常拿出一筒让孩子到院子里去喝。过去从来没买过饮料，也没买过带鱼，孩子穿得破烂，在院子里穷出了名。,"A.过去从没买过新鲜带鱼。
B.过去从没买过鱼。
C.老婆非常愚笨。
D.老婆不让孩子喝“可口可乐”。",A,
92,negative,Nature,王蒙/这边风景,努海子已经年老，没有儿子，深感缺少劳动力之苦，他看到穆萨这个光棍汉爱吹牛，好听人家奉承，有时显得有些傻气，觉得这是一个可以利用的廉价劳动力。,"A.努海子没有傻儿子。
B.怒海子没有后代。
C.穆萨不爱吹牛。
D.穆萨不喜欢听人家奉承。",A,
93,negative,Nature,人民日报1969年10月26日,我十五岁那年，就拿着这把刀，跟着父亲学打席，把一家的日子都寄托在这把刀上。可是，我父子俩拼死拼活地干，全家人还是没 吃过一顿饱饭，炕上没铺过一张囫囵席。,"A.全家人没吃过一顿荤食饱饭。
B.全家人没吃过一顿饭。
C.我五岁那年，就拿着这把刀，跟着父亲学打席
D.父子俩好吃懒做。",A,
94,negative,Nature,人民日报1992年07月22日,他精打细算，总共花了3.63元。没打酒，没买肉，紧紧巴巴过了个年。,"A.他没买牛肉。
B.他没买荤腥。
C.他花钱大手大脚。
D.这个年过得很奢靡。",A,
95,negative,Nature,人民日报海外版2001年04月23日,中国真了不起！特别是中国文化。我们虽然还没去过中国，但热爱中国文化。,"A.我们没去过北京。
B.我们没去过亚洲。
C.我们讨厌中国文化。
D.中国文化并不了不起。",A,
96,negative,AI,,今天，超市的立式空调没有开启制冷模式，立式空调区域的工作人员都买了冰镇西瓜汁降暑。,"A.超市的大型立式空调没有开启制冷模式。
B.超市的空调没有开启制冷模式。
C.超市的立式空调今天制冷效果很好。
D.立式空调区域的工作人员都买了热的西瓜汁。",A,
97,negative,AI,,交通标识未显示特殊路况提示。这给许多司机造成了困扰，他们不得不到前方路口掉头。,"A.交通标识未显示潮汐车道提示。
B.交通标识未显示路况提示。
C.司机准备在后方路口掉头。
D.交通标识未显示特殊路况提示不会给司机造成困扰。",A,
98,negative,AI,,重症监护室的体外膜肺氧合机未接入血氧饱和度监测模块，只有绿色指示灯在昏暗的病房里有规律地明灭闪烁。,"A.重症监护室的体外膜肺氧合机未接入实时血氧饱和度监测模块。
B.重症监护室的体外膜肺氧合机未接入核心监测模块。
C.绿色指示灯无规律地明灭闪烁。
D.病房里很明亮。",A,
99,negative,AI,,便利店货架上的吐司没有贴打折标签，塑封包装角落凝着细小的水珠，保质期只剩最后两天。,"A.便利店货架上的全麦吐司没有贴打折标签。
B.便利店货架上的食品没有贴打折标签。
C.吐司的塑封包装角落凝着硕大的水珠。
D.吐司的保质期还有一周。",A,
100,negative,AI,,妈妈坚决不用钝口的刀切冻肉，她说这样的刀不仅难以切开肉，还容易切伤手。,"A.妈妈坚决不用钝口的陶瓷刀切冻肉。
B.妈妈坚决不用刀切冻肉。
C.钝口的刀容易切开肉。
D.钝口的刀不容易切伤手。",A,
101,negative,AI,,娇兰防晒霜不需要卸妆油清洁，用洗面奶清洗即可，清洁后皮肤也不会感到干燥。,"A.娇兰SPF50防晒霜不需要卸妆油清洁。
B.防晒霜不需要卸妆油清洁。
C.娇兰防晒霜不能用洗面奶清洁。
D.防晒霜清洁后皮肤会感到干燥。",A,
102,negative,AI,,浴室柜里找不到泡沫洗手液，陶瓷台面上留着半干的水渍和两枚模糊的指纹。,"A.浴室柜里找不到柑橘香型的泡沫洗手液。
B.浴室柜里找不到洗手液。
C.陶瓷台面上留着全干的水渍。
D.陶瓷台面上留着两枚模糊的指纹。",A,
103,negative,AI,,芍药不适合在太阳下暴晒，妈妈每次买芍药都会把它放在阴凉的室内，芍药开花之后很香。,"A.窄叶芍药不适合在太阳下暴晒。
B.植物不适合在太阳下暴晒。
C.妈妈每次买芍药都会把它放在燥热的室内。
D.芍药开花之后不香。",A,
104,negative,AI,,黄花梨手串不能接触汗液。所以老王每次运动之前都要把他的手串摘下来，但经常会忘记再戴上。,"A.海南黄花梨手串不能接触汗液。
B.文玩藏品不能接触汗液。
C.老王每次运动之后都要把他的手串摘下来。
D.老王不会忘记再戴上手串。",A,
105,negative,AI,,医院住院部的呼吸机未接入报警系统。王院长对此十分关注，要求相关人员在一周内落实这件事。,"A.住院部ICU的呼吸机未接入报警系统。
B.住院部的医疗设备未接入报警系统。
C.王院长要求相关人员在两周内落实这件事。
D.王院长没有关注到这件事。",A,
106,negative,AI,,在他们的民族中，鸡是神圣的动物，所以他们从来不吃鸡肉。大家也都很尊重他们的传统和习惯。,"A.他们从来不吃鸡胸肉。
B.他们从来不吃肉。
C.在他们的民族中，鸡是肮脏的动物。
D.大家不尊重他们的传统和习惯。",A,
107,negative,AI,,美术课的速写本不能用水彩笔涂抹。因为速写本的纸张较薄，水彩笔的墨水会印到下一张纸上。,"A.美术课的速写本不能用红色水彩笔涂抹。
B.美术课的速写本不能用笔涂抹。
C.水彩笔的墨水不会印到速写本的下一张纸上。
D.速写本的纸张很厚。",A,
108,negative,AI,,小提琴不能托运，因为小提琴的材质比较脆弱且对温度湿度有较高要求，托运不满足这些条件。,"A.斯特拉迪瓦里小提琴不能托运。
B.乐器不能托运。
C.小提琴的材质比较坚硬。
D.小提琴对温度湿度没有要求。",A,
109,negative,AI,,考虑到材料的可推广性，设计师拒绝使用海藻生物基制作概念椅的支撑结构，尽管这种材料的热变形温度可达120℃。,"A.设计师拒绝使用海藻生物基3D打印线材制作概念椅的支撑结构。
B.设计师拒绝使用新型环保材料制作概念椅的支撑结构。
C.这种材料的热变形温度可达200℃。
D.设计师没有考虑到材料的可推广性。",A,
110,negative,AI,,搭载多光谱传感器的植保无人机未识别出玉米的病害症状，螺旋桨气流掀起层层叶浪，云端数据库仍显示绿色健康指数。,"A.搭载多光谱传感器的植保无人机未识别玉米的锈病症状。
B.搭载多光谱传感器的植保无人机未识别出作物病害特征。
C.螺旋桨气流掀起一层叶浪。
D.云端数据库没有显示绿色健康指数。",A,
111,negative,AI,,妈妈不允许在家养土狗，她觉得土狗一点也不可爱。我只能在路边的时候，给他喂一点火腿肠。,"A.妈妈不允许在家养黄土狗。
B.妈妈不允许在家养狗。
C.妈妈觉得土狗很可爱。
D.我从不在路边喂土狗。",A,
112,negative,AI,,蓝莓不应该放在阴冷的环境中，这样会加速它的变质。最好把蓝莓放在冰箱里，并在一周内吃完。,"A.秘鲁蓝莓不应该放在阴冷的环境中，这样会加速它的变质。
B.水果不应该放在阴冷的环境中，这样会加速它的变质。
C.最好在两周内吃完蓝莓。
D.最好不要把蓝莓放在冰箱里。",A,
113,negative,AI,,防火卷帘门不应长期处于半开状态。这会误导群众，让他们以为这只是普通的一扇门。,"A.铁制防火卷帘门不应长期处于半开状态。
B.消防设施不应长期处于半开状态。
C.防火卷帘门长期处于半开状态不会误导群众。
D.防火卷帘门只是普通的一扇门。",A,
114,negative,AI,,移液枪枪头不可高温高压灭菌。这是一次性的实验用品，多次使用会污染其他试剂。,"A.5ml移液枪枪头不可高温高压灭菌。
B.实验耗材不可高温高压灭菌。
C.移液枪枪头不是一次性的实验用品。
D.移液枪枪头多次使用不会污染其他试剂。",A,
115,negative,AI,,小明没有带笔上课。因为他记错了春游的日期，以为今天是集体去公园游玩。,"A.小明没有带钢笔上课。
B.小明没有带文具上课。
C.小明以为今天是集体去动物园游玩。
D.小明没有记错春游的日期。",A,
116,negative,AI,,洗衣店不接受真丝面料干洗。真丝面料遇到干洗的化学物质有可能会受损。洗衣店的店员都会跟客户解释清楚原因。,"A.洗衣店不接受真丝衬衫干洗。
B.洗衣店不接受丝绸面料干洗。
C.洗衣店的店员都不会跟客户解释清楚原因。
D.真丝面料遇到干洗的化学物质不会受损。",A,
117,negative,AI,,室内绿萝不需要频繁浇水。我之前的一盆多肉植物就是因为浇多了水死了，我后来再也没养过植物。,"A.室内青叶绿萝不需要频繁浇水。
B.室内绿植不需要频繁浇水。
C.我之前的一盆多肉植物就是因为水浇少干死了。
D.我后来又养了绿萝。",A,
118,negative,AI,,护士没有使用缝合针处理伤口。因为这项错误操作，护士被要求重修外科操作课程。,"A.护士没有使用医用缝合针处理伤口。
B.护士没有使用针处理伤口。
C.护士没被要求重修外科操作课程。
D.护士的这项操作正确。",A,
119,negative,AI,,体育老师不允许学生擅自借用球拍。上个学期，有两个高年级的男生擅自借了球拍还打伤了人。,"A.体育老师不允许学生擅自借用网球拍。
B.体育老师不允许学生擅自借用运动器材。
C.上个学期，有两个低年级的男生擅自借了球拍。
D.上个学期，那两个低年级的男生打伤了人。",A,
120,negative,AI,,这家餐厅没有提供环保餐具。相关部门要求其针对这个问题进行整改，贯彻环保理念。,"A.这家餐厅没有提供环保筷子。
B.这家餐厅没有提供餐具。
C.相关部门不要求其贯彻环保理念。
D.相关部门不要求其针对这个问题进行整改。",A,
121,if,Nature,余华 余华自传,我们两个人这样的对话进行了很久，他说了一些地名我也不知道，直到我起身告辞时，还是没有找到一个双方都知道的地名。同样一个海盐，在黄源老先生那里，和在我这里成了两个完全不同的记忆。我在想，再过四十年，如果有一个从海盐来的年轻人，和我坐在一起谈论海盐时，也会出现这样的情况。,"A.如果有一个从海盐来的年轻女人，和我坐在一起谈论海盐时，也会出现这样的情况。
B.如果有一个从海盐来的人，和我坐在一起谈论海盐时，也会出现这样的情况。
C.同样一个海盐，在黄源老先生那里，和在我这里一模一样。
D.我和黄源老先生对话时找到了双方都知道的地名。",A,
122,if,Nature,常温 桑拿小姐,如果汤料是不易熟的物品，则可能需要煮熟后再放进冬瓜“盅”里去蒸，不然待那汤蒸熟时，那“盅”大概早已成为烂泥了。今晚的汤里煮的是鱼翅、粉丝和排骨等汤料，吃起来十分鲜美。,"A.如果高汤料是不易熟的物品，则可能需要煮熟后再放进冬瓜“盅”里去蒸。
B.如果食物是不易熟的物品，则可能需要煮熟后再放进冬瓜“盅”里去蒸。
C.今晚的汤里煮的是山鸡。
D.今晚的汤不好喝。",A,
123,if,Nature,周而复 上海的早晨,陶阿毛羡慕张学海的幸福的家庭生活，关心巧珠在学校里的功课成绩，如果数学方面有啥不懂的地方，他可以给她补习一下功课。,"A.如果算数方面有啥不懂的地方，陶阿毛可以给巧珠补习一下功课。
B.如果理科方面有啥不懂的地方，陶阿毛可以给巧珠补习一下功课。
C.陶阿毛不羡慕张学海的幸福的家庭生活。
D.陶阿毛不关心巧珠在学校里的功课成绩。",A,
124,if,Nature,余华/世事如烟,接生婆感到这个梦过于复杂，她告诉儿子：如果你梦见了狗，我会告诉你要失财了。,"A.如果你梦见了大狗，我会告诉你要失财了。
B.如果你梦见了动物，我会告诉你要失财了。
C.接生婆感到这个梦过于简单。
D.接生婆没有告诉儿子任何话。",A,
125,if,Nature,余秋雨/长者,在家休息一阵还不行，只得住院，出了医院就到故乡休养去了。从一九七五年到一九七六年，我如果在上海，没准也会奉命参与一些诸如“反击右倾翻案风”和其他名目繁多的小运动，居然都让我逃过去了。,"A.从一九七五年到一九七六年，我如果在陆家嘴，没准也会奉命参与一些诸如“反击右倾翻案风”和其他名目繁多的小运动。
B.从一九七五年到一九七六年，我如果在中国，没准也会奉命参与一些诸如“反击右倾翻案风”和其他名目繁多的小运动。
C.我不用住院。
D.我没有回故乡休养。",A,
126,if,Nature,余华/世事如烟,如果你梦见了火，我会告诉你要进财了；如果你梦见 了棺材，我会告诉你要升官了。但是这个梦使接生婆感到为难，因为在这个梦里缺乏她所需要的那种有明确暗示的景与物。,"A.如果你梦见了大火，我会告诉你要进财了。
B.如果你梦见了灾害，我会告诉你要进财了。
C.这个梦使接生婆感到开心。
D.这个梦里有她所需要的那种有明确暗示的景与物。",A,
127,if,Nature,人民日报1956年11月25日,如果你暑假来到这里，可以在雨后观看悬在苍山腰间的玉带云，这种白云如带，长百多里，经久不散。,"A.如果你7月来到这里，可以在雨后观看悬在苍山腰间的玉带云。
B.如果你假期来到这里，可以在雨后观看悬在苍山腰间的玉带云。
C.这种白云长千余里。
D.这种白云一会儿就散了。",A,
128,if,Nature,人民日报2016年11月25日,如果你雇了贫困户，每一个人有5万块钱的额度，政府不直接给他，给你企业！,"A.如果你雇了农村贫困户，每一个人有5万块钱的额度。
B.如果你雇了弱势群体，每一个人有5万块钱的额度。
C.这个额度政府直接给他。
D.这个额度政府不给企业。",A,
129,if,Nature,人民日报,正如《纽约时报》文章所说：“在达沃斯（对中国经济）的感知同现实毕竟存在鸿沟，如果你身处中国的土地，就不会感到担忧。”事实上，国际社会对中国经济长期基本要素依然强劲的特点是有共识的。,"A.如果你身处北京的土地，就不会感到担忧。
B.如果你身处亚洲的土地，就不会感到担忧。
C.在达沃斯（对中国经济）的感知同现实不存在鸿沟。
D.国际社会对中国经济长期基本要素依然强劲的特点是毫无共识的。",A,
130,if,Nature,张爱玲/连环套,众人把一个年纪最大的英国尼姑铁烈丝往里搀。铁烈丝个子小而肥，白包头底下露出一张燥红脸，一对实心的蓝眼珠子。如果洋娃娃也有老的一天，老了之后便是那模样。,"A.如果金发洋娃娃也有老的一天，老了之后便是那模样。
B.如果玩具也有老的一天，老了之后便是那模样。
C.英国尼姑铁烈丝个子小而瘦。
D.众人没有把年纪最大的英国尼姑铁烈丝往里搀。",A,
131,if,Nature,人民日报,如果你身边有朋友在希腊经商，那么他的朋友圈里一定少不了希腊议会于16日通过援助协议所需的紧缩方案这条新闻。方案通过后，希腊暂时摆脱了退出欧元区的命运，但必须面对增税、提高退休年龄等苛刻条款。,"A.如果你身边有朋友在雅典经商，那么他的朋友圈里一定少不了希腊议会于16日通过援助协议所需的紧缩方案这条新闻。
B.如果你身边有朋友在欧洲经商，那么他的朋友圈里一定少不了希腊议会于16日通过援助协议所需的紧缩方案这条新闻。
C.方案通过后，希腊仍旧没能摆脱退出欧元区的命运
D.方案通过后，希腊无须面对增税、提高退休年龄等苛刻条款。",A,
132,if,Nature,知侠 铁道游击队1,因为岸边水浅，船底贴着地面，又上了那么多人，船陷进深泥里。敌人快奔上土丘了，如果机枪架上土丘，敌人居高临下向这里扫射就很危险了，因为这四周一点隐蔽的地方都没有，鬼子汉奸在嗷嗷的叫。,"A.如果加特林机枪架上土丘，敌人居高临下向这里扫射就很危险了。
B.如果枪架上土丘，敌人居高临下向这里扫射就很危险了。
C.船陷进水草里。
D.鬼子汉奸没有嗷嗷的叫。",A,
133,if,Nature,人民日报,如果你购买了一台“荷花”牌洗衣机，同时可以无偿领到一张“产品质量信誉保险证”。假如这台洗衣机在使用中因质量问题而对你造成什么损失，可以得到保险公司的赔偿。去年4月份，武汉市保险公司在我国首次开展产品质量信誉保险业务。,"A.如果你购买了一台最新款“荷花”牌洗衣机，同时可以无偿领到一张“产品质量信誉保险证”。
B.如果你购买了一台洗衣机，同时可以无偿领到一张“产品质量信誉保险证”。
C.假如这台洗衣机在使用中因质量问题而对你造成什么损失，不可以得到保险公司的赔偿。
D.去年5月份，武汉市保险公司在我国首次开展产品质量信誉保险业务。",A,
134,if,Nature,人民日报海外版2000年06月03日,如果你要购买汽车，选好车型，付了款，交易商可立即把汽车送到家；上车牌，办保险等全由卖方在一两天内办完送上门。,"A.如果你要购买小轿车，选好车型，付了款，交易商可立即把汽车送到家。
B.如果你要购买交通工具，选好车型，付了款，交易商可立即把汽车送到家。
C.上车牌不由卖方办完送上门。
D.保险不由卖方办完送上门。",A,
135,if,Nature,知侠 铁道游击队1,每当他哀伤的时候，他会忍住眼泪，在这忍住眼泪的同时，一种难以压抑的愤怒便在胸中燃烧，他的眼睛亮了，拳头握紧了，如果手中有枪，他就把子弹顶上膛，他能化悲愤为力量，展开不疲倦的斗争，而且越战越坚强。,"A.如果手中有机关枪，他就把子弹顶上膛。
B.如果手中有武器，他就把子弹顶上膛。
C.一种难以压抑的愤怒在胸中熄灭了。
D.每当他哀伤的时候，他会哭泣。",A,
136,if,Nature,人民日报海外版2003年11月10日,如果你要配一本杂志，松筠阁都能帮你找到。吴晓玲、郑振铎、刘半农、刘景超都常来书店选购期刊或报纸。,"A.如果你要配一本旧杂志，松筠阁都能帮你找到。
B.如果你要配一本书籍，松筠阁都能帮你找到。
C.吴晓玲不常来书店选购。
D.郑振铎不常来书店选购。",A,
137,if,Nature,欧阳山 三家巷,当天晚上，她就和弟弟、妹妹们谈起周炳这个人物来。她认为周炳如果能够进了基督教，他一定会成一个道德高尚、人人爱慕的传教士。中学生陈文雄却认为周炳如果学会了英文，入了洋务界，他会成为一个出色的经理。,"A.她认为周炳如果能够进了福音派基督教，他一定会成一个道德高尚、人人爱慕的传教士。
B.她认为周炳如果能够进了宗教组织，他一定会成一个道德高尚、人人爱慕的传教士。
C.她和哥哥、姐姐们谈起周炳这个人物。
D.中学生陈文雄认为周炳不会成为一个出色的经理。",A,
138,if,Nature,欧阳山 三家巷,中学生陈文雄却认为周炳如果学会了英文，入了洋务界，他会成为一个出色的经理，因为外国人是专门挑选脸孔漂亮的人物当经理的。二姑娘陈文娣一提起周炳的名字，脸就红了。她认为周炳最好还是去学唱戏，她说这样漂亮的戏子，就算是个哑巴，也会颠倒了全广州的人。,"A.周炳如果学会了美式英文，入了洋务界，他会成为一个出色的经理。
B.周炳如果学会了外语，入了洋务界，他会成为一个出色的经理。
C.二姑娘陈文娣一提起周炳的名字，脸就黑了。
D.她认为周炳不要去学唱戏。",A,
139,if,Nature,姚雪垠 李自成1,他们有些是本地农民新入伙的，有些是本地的小杆子入伙的，大多数没有练过武艺。根据自成多年的临阵经验，弟兄们如果手执长武器，纵然练得不熟，也很有用。,"A.弟兄们如果手执长枪，纵然练得不熟，也很有用。
B.弟兄们如果手执武器，纵然练得不熟，也很有用。
C.他们有些是外地农民新入伙的。
D.他们大多数都练过武艺。",A,
140,if,Nature,人民日报1980年10月27日,此外还有“跨国”花店，如果你想把鲜花送给一位在法国的朋友，可把品种、花色、数量选定，待你到法国之后向设在法国的分店取花送人；既可以在荷兰付款，也可在法国的分店付款。这样不仅保证鲜花不致因长途旅行而枯萎、凋零，也大大方便了顾客。,"A.如果你想把鲜花送给一位在巴黎的朋友，可把品种、花色、数量选定，待你到法国之后向设在法国的分店取花送人。
B.如果你想把鲜花送给一位在欧洲的朋友，可把品种、花色、数量选定，待你到法国之后向设在法国的分店取花送人。
C.这样鲜花反而更容易枯萎。
D.这样反而会给顾客带来不便。",A,
141,if,Nature,人民日报海外版2003年07月31日,如果你买了一头牛，只要付给小孩两块钱，马上会有小孩给你牵到家里；完成整头牛的屠宰，你需要付给阿訇（或者满拉）4元钱、付给剥牛皮的人10元钱、付给剔肉的人两元钱；牛骨头、牛百叶、牛头、牛下水专门有人来收购。,"A.如果你买了一头黄牛，只要付给小孩两块钱，马上会有小孩给你牵到家里。
B.如果你买了一头牲畜，只要付给小孩两块钱，马上会有小孩给你牵到家里。
C.完成整头牛的屠宰，你需要付给剔肉的人五元钱。
D.牛骨头、牛百叶、牛头、牛下水无专人来收购。",A,
142,if,Nature,莫言 生死疲劳,因为养猪现场会的主角其实是猪，因此猪的面貌决定会议的成败。就像金龙对洪泰岳说的那样，即便把杏园猪场用语言美化成鲜花，但如果猪不好看，也难以服众。,"A.即便把杏园猪场用语言美化成鲜花，但如果乳猪不好看，也难以服众。
B.即便把杏园猪场用语言美化成鲜花，但如果动物不好看，也难以服众。
C.养猪现场会的主角不是猪。
D.猪的面貌不能决定会议的成败。",A,
143,if,Nature,莫言 蛙,我们一进入饭馆就立刻喜欢上了这环境。我最喜欢那些拙朴的桌椅，如果桌子上蒙上浆洗得洁白板整的台布那这个饭馆会很欧洲。,"A.如果桌子上蒙上浆洗得洁白板整的欧式台布那这个饭馆会很欧洲。
B.如果桌子上蒙上台布那这个饭馆会很欧洲。
C.我们一进入饭馆就立刻讨厌上了这环境。
D.我不喜欢那些拙朴的桌椅。",A,
144,if,Nature,莫言/会唱歌的强,人家有时找你玩玩，那是无聊，那是天鹅向鸭子表示亲近，如果鸭子竟因此而想入非非，那水鸭子就惨了。想明白了道理后，我发誓宁愿饿死也不再吃人家的东西了，就像朱自清宁愿饿死也不吃美国面粉一样。,"A.如果水鸭子竟因此而想入非非，那它就惨了。
B.如果鸭科动物竟因此而想入非非，那它就惨了。
C.我还是愿意吃人家的东西。
D.我没有想明白道理。",A,
145,if,Nature,鲁迅/而已集,前几年《新青年》（6）载过几篇小说，描写罪人在寒地里的生活，大学教授看了就不高兴，因为他们不喜欢看这样的下流人。如果诗歌描写车夫，就是下流诗歌；一出戏里，有犯罪的事情，就是下流戏。,"A.如果浪漫主义诗歌描写车夫，就是下流诗歌。
B.如果文学作品描写车夫，就是下流文学。
C.前几年《新青年》（6）载过几篇小说，描写罪人在热带雨林的生活。
D.大学教授喜欢看这样的下流人。",A,
146,if,Nature,迟子建/额尔古纳河右岸,如果猎获了野兽，还要涂一些野兽身上的血和油在这神像上。那时在额尔古纳河右岸的森林中，这样刻有山神的大树有很多。猎人从“白那查”身边经过，是不能大吵大嚷的。,"A.如果猎获了野狼，还要涂一些野兽身上的血和油在这神像上。
B.如果猎获了动物，还要涂一些野兽身上的血和油在这神像上。
C.那时在额尔古纳河右岸的森林中，这样刻有山神的大树很少。
D.猎人从“白那查”身边经过时需要大吵大嚷。",A,
147,if,Nature,格非/江南三部曲,如果早自习迟到的话，他将会被罚站；面包在冰箱里，牛奶是刚买的，得给他煮一个鸡蛋，还有，得看着他把鸡蛋吃完，否则，他会趁人不备，将它偷偷地塞进衣兜，拿到外面去扔掉。,"A.如果周一的早自习迟到的话，他将会被罚站。
B.如果自习课迟到的话，他将会被罚站。
C.面包在抽屉里。
D.牛奶是很久以前买的。",A,
148,if,Nature,格非/江南三部曲,有时，如果喝了点酒 ，他也会以一个严苛的道德主义者的面目，动辄训人。他对小秋的观点根本不屑一顾。他没有正面回答小秋的问题，而是引用了《左传》中叔向写给子产的一封信。,"A.有时，如果喝了点白酒，他也会以一个严苛的道德主义者的面目，动辄训人。
B.有时，如果喝了点饮品，他也会以一个严苛的道德主义者的面目，动辄训人。
C.他对小秋的观点很重视。
D.他正面回答了小秋的问题。",A,
149,if,Nature,王小波/怀疑三部曲,如果你们要到公众场合去，你要注意看着孩子，不要让他接近细菌滋生的地方，比如超市的手推车把手。你可以随身携带消毒湿巾，在把孩子放进手推车之前，先用湿巾清洁把手。,"A.如果你们要到游乐园去，你要注意看着孩子。
B.如果你们要到某个场所去，你要注意看着孩子。
C.可以让孩子接近细菌滋生的地方。
D.你不可以随身携带消毒湿巾。",A,
150,if,Nature,迟子建/额尔古纳河右岸,我赶紧甩掉上衣，我觉得自己就是一棵树，那两只裸露的乳房就是经过雨水滋润后生出的一对新鲜的猴头蘑，如果熊真想吃这样的蘑菇，我只能奉献给它。,"A.如果灰熊真想吃这样的蘑菇，我只能奉献给它。
B.如果动物真想吃这样的蘑菇，我只能奉献给它。
C.我觉得自己就是一株草。
D.我穿上衣服。",A,
151,if,Nature,余华 许三观卖血记,如果你们要狮子，就给两头，你们可以在两头狮子中任选一头，还可以随时更换。,"A.如果你们要雄狮子，就给两头。
B.如果你们要猛兽，就给两头。
C.你们不可以在两头狮子中任选一头。
D.你们也不可以随时更换。",A,
152,if,Nature,冯德英 苦菜花,如果你们有的时候很想吃汉堡呢，我们以后就可以自己动手制作，既干净、又卫生、而且还特别特别的香。,"A.如果你们有的时候很想吃牛肉汉堡呢，我们以后就可以自己动手制作。
B.如果你们有的时候很想吃高热量食品呢，我们以后就可以自己动手制作。
C.自己动手制作不干净。
D.自己动手制作不卫生。",A,
153,if,Nature,礼平 晚霞消失的时候,山道从门洞中穿过后向右一折，台阶就变得陡起来。如果骑马进山，在这里是非下马不可的。当我遥遥看到它的时候，我前面不远，一位老人正健步前行。,"A.如果骑矮脚马进山，在这里是非下马不可的。
B.如果骑动物进山，在这里是非下来不可的。
C.我前面不远，一位老人正跌倒在地。
D.山道从门洞中穿过后向右一折，台阶还很平缓。",A,
