Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
76,negative,,,有一天，老师带了积木块、乐高积木、雪花片到教室，让同学们选择玩具进行搭建。鉴于同学们都喜欢雪花片，所以每个人都玩了雪花片。要是同学积木块、乐高积木都没有进行搭建，那么会得到一枚银牌。要是同学只有积木块、乐高积木中的一种玩具没有选，那么会得到一枚金牌。最后，小莉没有搭积木块或乐高积木。,"A.小莉获得了银牌。
B.小莉获得了金牌。
C.同学们都不喜欢雪花片。
D.小莉选了三种玩具。",A,
77,negative,,,一天，老师带来了象棋盘、跳棋盘、围棋盘到教室，让同学们选择棋盘下棋。由于同学们都喜欢围棋盘，所以每个人都选了围棋盘。如果同学象棋盘、跳棋盘都没有选，那么会得到一枚银牌。如果同学只有象棋盘、跳棋盘中的一种棋盘没有选，那么会得到一枚金牌。最后，小豪没有下象棋盘或跳棋盘。,"A.小豪获得了银牌。
B.小豪获得了金牌。
C.没有人选围棋。。
D.小豪选了三种棋盘。",A,
78,negative,,,某天，老师拿了毛笔字帖、硬笔字帖、英文字帖到教室，让同学们选择字帖进行书法练习。因为同学们都喜欢英文字帖，所以每个人都选了英文字帖。若同学毛笔字帖、硬笔字帖都没有练习，那么会得到一枚银牌。若同学只有毛笔字帖、硬笔字帖中的一种字帖没有练习，那么会得到一枚金牌。最后，小悠没有练毛笔字帖或硬笔字帖练习。,"A.小悠获得了银牌。
B.小悠获得了金牌。
C.没有人选英文字帖。
D.小悠选了三种字帖。",A,
79,negative,,,有一天，老师带了彩铅、蜡笔、马克笔到美术教室，让同学们选择画笔进行绘画创作。鉴于同学们都喜欢蜡笔，所以每个人都用了蜡笔。要是同学彩铅、马克笔都没有用，那么会得到一枚银牌。要是同学只有彩铅、马克笔中的一种没有用，那么会得到一枚金牌。最后，小泽没有用彩铅或马克笔。,"A.小泽获得了银牌。
B.小泽获得了金牌。
C.没有人选蜡笔。
D.小泽选了三种画笔。",A,
80,negative,,,一天，老师带来了篮球、足球、排球到操场，让同学们选择球进行体育活动。由于同学们都喜欢排球，所以每个人都选了排球。如果同学篮球、足球都没有选，那么会得到一枚银牌。如果同学只有篮球、足球中的一种球没有选，那么会得到一枚金牌。最后，小宇没有参加篮球或足球活动。,"A.小宇获得了银牌。
B.小宇获得了金牌。
C.同学们都喜欢排球。
D.小宇选了三种球。",A,
81,if,AI,,圣诞节即将来临，小明需要帮妈妈装饰5棵圣诞树。如果小明帮妈妈装饰了一些圣诞树，那么他能收到圣诞礼物。,"A.如果小明帮妈妈装饰了3棵圣诞树，那么他能收到圣诞礼物。
B.如果小明帮妈妈装饰了5棵圣诞树，那么他能收到圣诞礼物。
C.圣诞树不需要装饰。
D.今天是圣诞节。",AB,
82,if,AI,,春节到了，张三需要帮妈妈贴9副春联。如果张三帮妈妈贴了一些春联，那么他就能收到新年红包。,"A.如果张三帮妈妈贴了8副春联，那么他就能收到新年红包。
B.如果张三帮妈妈贴了9副春联，那么他就能收到新年红包。
C.张三家春节不贴春联。
D.春节还没到。",AB,
83,if,AI,,餐桌上有4块牛排，如果小李吃了一些牛排，那么妈妈会很开心。因为牛排很有营养，妈妈特别买来给小李补身体。,"A.如果小李吃了2块牛排，那么妈妈会很开心。
B.如果小李吃了4块牛排，那么妈妈会很开心。
C.牛排没有营养。
D.牛排是别人送的。",AB,
84,if,AI,,班级大扫除开始了，小红需要擦10扇窗户。如果小红今天能擦完一些窗户，那么她会拿到一朵小红花。所有同学都在认真打扫，没有人偷懒。,"A.如果小红今天擦完了5扇窗户，那么她会拿到一朵小红花。
B.如果小红今天擦完了10扇窗户，那么她会拿到一朵小红花。
C.班级正在考试。
D.有人偷懒。",AB,
85,if,AI,,老师要求小兰这周背诵5首古诗。如果今天晚上，小兰能背一些古诗，那么她明天就能在课堂上受到表扬。小兰觉得背故事很有意思。,"A.如果今天晚上，小兰背了2首古诗，那么她明天就能在课堂上受到表扬。
B.如果今天晚上，小兰背了5首古诗，那么她明天就能在课堂上受到表扬。
C.老师布置了抄写作业。
D.小兰觉得背古诗没有意思。",AB,
86,if,AI,,这周社区义务劳动，小李要清理8个垃圾桶。如果小李今天能清理一些垃圾桶，那么他明天会被社区工作人员表彰。小李在夜晚认真清理垃圾桶。,"A.如果小李今天清理完4个垃圾桶，那么他明天会被社区工作人员表彰。
B.如果小李今天清理完8个垃圾桶，那么他明天会被社区工作人员表彰。
C.小李拒绝参加社区义务劳动。
D.小李在白天清理垃圾桶。",AB,
87,if,AI,,手工课上，老师让大家制作6个纸灯笼。如果这节课小王能制作一些纸灯笼，那么他会得到一朵大红花。,"A.如果这节课小王制作了3个纸灯笼，那么他会得到一朵大红花。
B.如果这节课小王制作了6个纸灯笼，那么他会得到一朵大红花。
C.手工课上老师让大家写数学作业。
D.手工课上老师让大家制作丝绸灯笼。",AB,
88,if,AI,,这几天果园采摘，小张一共要采摘15个苹果。如果小张今天傍晚收工前能采摘一些苹果，那么他就能拿到工钱。,"A.如果小张今天傍晚收工前采摘了10个苹果，那么他就能拿到工钱。
B.如果小张今天傍晚收工前采摘了15个苹果，那么他就能拿到工钱。
C.果园里面不能采摘苹果。
D.小张一直到深夜才手工。",AB,
89,if,AI,,图书整理活动，志愿者小赵要整理20本图书。如果小赵今天上午能整理一些图书，那么他将拿到不菲的积分。,"A.如果小赵今天上午整理了18本图书，那么他将拿到不菲的积分。
B.如果小赵今天上午整理了20本图书，那么他将拿到不菲的积分。
C.小赵不是志愿者。
D,小赵拒绝参加图书整理活动。",AB,
90,if,AI,,这几天运动会，班级需要12箱矿泉水。如果今天上午，体育委员能准备一些矿泉水，那么今天下午运动员就能安心比赛了。因此，体育委员早上一到学校就开始忙活。,"A.如果今天上午，体育委员准备了6箱矿泉水，那么今天下午运动员就能安心比赛了。
B.如果今天上午，体育委员准备了12箱矿泉水，那么今天下午运动员就能安心比赛了。
C.体育委员不参加运动会筹备
D.体育委员早上没有来学校。",AB,
91,if,AI,,这周书法作业，老师布置写8张毛笔字。如果今天晚上，小刘能写一些毛笔字，那么妈妈就会给他买炸鸡。小刘在家里翻箱倒柜找墨水。,"A.如果今天晚上，小刘写了2张毛笔字，那么妈妈就会给他买炸鸡。
B.如果今天晚上，小刘写了8张毛笔字，那么妈妈就会给他买炸鸡。
C.小刘这周没有书法作业。
D.小刘在家里找可乐。",AB,
92,if,AI,,这周超市促销，促销员要发放30份传单。如果今天促销员能发掉一些传单，那么明天就能吸引更多客人参加活动。今天超市客流量不错。,"A.如果今天促销员发掉了18份传单，那么明天就能吸引更多客人参加活动。
B.如果今天促销员发掉了30份传单，那么明天就能吸引更多客人参加活动。
C.超市没有搞促销。
D.超市今天客流量很差",AB,
93,if,AI,,装修房子，工人师傅要安装6扇门。如果这个月工人师傅能安装好一些门，那么他们能拿到额外的加班费。目前整体装修进度非常快。,"A.如果这个月工人师傅安装好了2扇门，那么他们能拿到额外的加班费。
B.如果这个月工人师傅安装好了6扇门，那么他们能拿到额外的加班费。
C.房子没在装修。
D.整体进度偏慢。",AB,
94,if,AI,,这个月花园在栽种红玫瑰，园丁要种18株红玫瑰。如果这星期园丁能种好一些红玫瑰，那么下周会有更多人来花园欣赏。种完玫瑰后，园丁还要浇水施肥。,"A.如果这星期园丁种了8株红玫瑰，那么下周会有更多人来花园欣赏。
B.如果这星期园丁种了18株红玫瑰，那么下周会有更多人来花园欣赏。
C.花园在栽种蓝玫瑰。
D.园丁不用浇水施肥。",AB,
95,if,AI,,中秋节临近，小丽要帮爸爸做6个月饼。如果今天小丽能做好一些月饼，那么爸爸就给她买冰淇淋。小丽希望能吃到冰淇淋。,"A.如果今天小丽做好4个月饼，那么爸爸就给她买冰淇淋。
B.如果今天小丽做好6个月饼，那么爸爸就给她买冰淇淋。
C.今天是中秋节。
D.小丽不想吃冰淇淋。",AB,
96,if,AI,,端午节就要到了，小晨要帮奶奶包8个粽子。一段时间后，小晨帮奶奶包了一些粽子，这些粽子样子非常精巧。,"A.小晨包了5个粽子。
B.小晨包了8个粽子。
C.今天是端午节。
D.小晨包的粽子长得很丑。",AB,
97,if,AI,,儿童节快到了，小悠要帮幼儿园老师折11只千纸鹤。如果今天小悠能折好一些千纸鹤，那么老师会表扬她。小悠希望得到老师表扬。,"A.如果今天小悠折好7只千纸鹤，那么老师会表扬她。
B.如果今天小悠折好11只千纸鹤，那么老师会表扬她。
C.今天是儿童节。
D.小悠不想得到老师表扬。",AB,
98,if,AI,,重阳节即将来临，小敏要帮爷爷做5个茱萸香囊。如果今天小敏能帮爷爷做一些茱萸香囊，那么爷爷就给她买可乐。不过小敏并不是很想喝可乐。,"A.如果今天小敏帮爷爷做了3个茱萸香囊，那么爷爷就给她买可乐。
B.如果今天小敏帮爷爷做了5个茱萸香囊，那么爷爷就给她买可乐。
C.今天是重阳节。
D.小敏想喝可乐。",AB,
99,if,AI,,国庆节即将来临，这几天小哲要帮爸爸挂7面国旗。如果今天小哲能帮爸爸挂一些国旗，那么爸爸就给他买玩具。到时候国庆节当天，国旗在风中飘扬，一定非常好看。,"A.如果今天小哲帮爸爸挂了5面国旗，那么爸爸就给他买玩具。
B.如果今天小哲帮爸爸挂了7面国旗，那么爸爸就给他买玩具。
C.今天是国庆节。
D.国旗在风中保持静止，非常好看。",AB,
100,if,AI,,花朝节快到了，这几天小宇要帮姐姐做9个花球。如果今天小宇能帮姐姐做一些花球，那么他就能拿到更多的零花钱。姐姐做出来的花球吸引了很多蜜蜂。,"A.如果今天小宇帮姐姐做了3个花球，那么他就能拿到更多的零花钱。
B.如果今天小宇帮姐姐做了9个花球，那么他就能拿到更多的零花钱。
C.今天是花朝节。
D.花球吸引了很多蚊子。",AB,
101,if,AI,,一天，老师带了苹果、香蕉、榴莲到教室，让小动物们学画水果。因为小动物们都不喜欢榴莲，所以没有小动物画榴莲。如果小动物画了苹果、香蕉，那么他就会得到一枚金牌。如果小动物画了苹果、香蕉中的一种水果，那么他就会得到一枚银牌。,"A.如果小兔子画了苹果或香蕉，那么不确定他会获得什么奖励。
B.如果小兔子画了苹果或香蕉，那么他将获得银牌。
C.老师带了两种水果到教室。
D.有小动物画了榴莲。",A,
102,if,AI,,一天，老师带了足球、篮球、橄榄球到操场，让同学们选择参加体育活动。因为同学们都不喜欢橄榄球，所以没人选橄榄球。如果同学参加了足球和篮球活动，那么会得到一枚金牌。如果同学参加了足球、篮球中的一项活动，那么会得到一枚银牌。,"A.如果小明参加了足球或篮球活动，那么不确定他会获得什么奖励。
B.如果小明参加了足球或篮球活动，那么他将获得银牌。
C.老师带了五种球到操场。
D.小明参加了三项体育活动。",A,
103,if,AI,,某天，老师拿了积木、拼图、魔方到教室，让小朋友们选择益智游戏。因为小朋友们都不喜欢魔方，所以没人玩魔方。若小朋友玩了积木和拼图，那么会得到一枚金牌。若小朋友玩了积木、拼图中的一种游戏，那么会得到一枚银牌。,"A.如果小明拿了积木或拼图，那么不确定他会获得什么奖励。
B.如果小明拿了积木或拼图，那么他将获得银牌。
C.老师带了四种益智游戏道具到教室。
D.有小朋友玩魔方。",A,
104,if,AI,,有一天，老师带了毛笔、水彩笔、油画棒到美术教室，让同学们选择绘画工具进行创作。鉴于同学们都不喜欢油画棒，所以没人用油画棒。要是同学用了毛笔和水彩笔进行创作，那么会得到一枚金牌。要是同学用了毛笔、水彩笔中的一种工具创作，那么会得到一枚银牌。,"A.如果小辉用毛笔或水彩笔创作，那么不确定他会获得什么奖励。
B.如果小辉用毛笔或水彩笔创作，那么他将获得银牌。
C.同学们不可以自主选择绘画工具。
D.有同学用油画棒作画。",A,
105,if,AI,,一天，老师带来了故事书、科普书、漫画书到图书馆，让同学们选择阅读。由于同学们都不喜欢漫画书，所以没人读漫画书。如果同学读了故事书和科普书，那么会得到一枚金牌。如果同学读了故事书、科普书中的一种书，那么会得到一枚银牌。,"A.如果小婷读了故事书或科普书，那么不确定她会获得什么奖励。
B.如果小婷读了故事书或科普书，那么她将获得银牌。
C.有同学读了漫画书。
D.老师没有拿故事书来图书馆。",A,
106,if,AI,,某天，老师拿了跳绳、毽子、沙包到操场，让同学们选择课间活动。因为同学们都不喜欢沙包，所以没人玩沙包。若同学玩了跳绳和毽子，那么会得到一枚金牌。若同学玩了跳绳、毽子中的一项活动，那么会得到一枚银牌。,"A.如果小宇跳绳或踢毽子，那么不确定他会获得什么奖励。
B.如果小宇跳绳或踢毽子，那么他将获得银牌。
C.小宇参加了五项课间活动。
D.有人玩沙包。",A,
107,if,AI,,有一天，老师带了黏土、彩纸、吸管到手工教室，让同学们选择材料制作手工艺品。鉴于同学们都不喜欢吸管，所以没人用吸管。要是同学用了黏土和彩纸制作手工艺品，那么会得到一枚金牌。要是同学用了黏土、彩纸中的一种材料制作，那么会得到一枚银牌。,"A.如果小佳用黏土或彩纸创作，那么不确定他会获得什么奖励。
B.如果小佳用黏土或彩纸创作，那么他将获得银牌。
C.小佳没有使用任何材料。
D.同学们都很喜欢吸管。",A,
108,if,AI,,一天，老师带来了象棋、跳棋、围棋到教室，让同学们选择棋类游戏。由于同学们都不喜欢围棋，所以没人下围棋。如果同学下了象棋和跳棋，那么会得到一枚金牌。如果同学下了象棋、跳棋中的一种棋，那么会得到一枚银牌。,"A.如果小晨下象棋或跳棋，那么不确定他会获得什么奖励。
B.如果小晨下象棋或跳棋，那么他将获得银牌。
C.同学们都喜欢围棋。
D.小晨玩了三种棋类游戏。",A,
109,if,AI,,某天，老师拿了篮球鞋、足球鞋、网球鞋到体育器材室，让同学们选择运动鞋参加比赛。因为同学们都不喜欢网球鞋，所以没人选网球鞋。若同学选了篮球鞋和足球鞋，那么会得到一枚金牌。若同学选了篮球鞋、足球鞋中的一种鞋，那么会得到一枚银牌。,"A.如果小豪拿了篮球鞋或足球鞋，那么不确定他会获得什么奖励。
B.如果小豪拿了篮球鞋或足球鞋，那么他将获得银牌。
C.有人选了网球鞋。
D.小豪选了三种运动鞋。",A,
110,if,AI,,有一天，老师带了彩泥、陶泥、超轻黏土到手工教室，让同学们选择材料制作雕塑。鉴于同学们都不喜欢陶泥，所以没人用陶泥。要是同学用了彩泥和超轻黏土制作雕塑，那么会得到一枚金牌。要是同学用了彩泥、超轻黏土中的一种材料制作，那么会得到一枚银牌。,"A.如果小萱用彩泥或超轻黏土制作，那么不确定她会获得什么奖励。
B.如果小萱用彩泥或超轻黏土制作，那么她将获得银牌。
C.小萱选了陶泥。
D.小萱用了三种材料。",A,
111,if,AI,,一天，老师带来了篮球服、足球服、排球服到更衣室，让同学们选择队服参加比赛。由于同学们都不喜欢排球服，所以没人选排球服。如果同学选了篮球服和足球服，那么会得到一枚金牌。如果同学选了篮球服、足球服中的一种队服，那么会得到一枚银牌。,"A.如果小宁拿了篮球服或足球服，那么不确定他会获得什么奖励。
B.如果小宁拿了篮球服或足球服，那么他将获得银牌。
C.小宁选了排球服。
D.小宁选了三种队服。",A,
112,if,AI,,某天，老师拿了素描纸、水彩纸、卡纸到美术教室，让同学们选择纸张进行绘画。因为同学们都不喜欢卡纸，所以没人用卡纸。若同学用了素描纸和水彩纸绘画，那么会得到一枚金牌。若同学用了素描纸、水彩纸中的一种纸绘画，那么会得到一枚银牌。,"A.如果小萌用素描纸或水彩纸绘画，那么不确定他会获得什么奖励。
B.如果小萌用素描纸或水彩纸绘画，那么他将获得银牌。
C.同学们都喜欢卡纸。
D.小萌用了三种纸张。",A,
113,if,AI,,有一天，老师带了口琴、竖笛、陶笛到音乐教室，让同学们选择乐器进行演奏。鉴于同学们都不喜欢陶笛，所以没人选陶笛。要是同学选择口琴和竖笛进行演奏，那么会得到一枚金牌。要是同学选择口琴、竖笛中的一种乐器演奏，那么会得到一枚银牌。,"A.如果小辉参加口琴或竖笛演奏，那么不确定他会获得什么奖励。
B.如果小辉参加口琴或竖笛演奏，那么他将获得银牌。
C.小辉喜欢陶笛。
D.小辉选了三种乐器。",A,
114,if,AI,,一天，老师带来了轮滑鞋、滑板、平衡车到操场，让同学们选择代步工具进行练习。由于同学们都不喜欢平衡车，所以没人选平衡车。如果同学选择轮滑鞋和滑板进行练习，那么会得到一枚金牌。如果同学选择轮滑鞋、滑板中的一种代步工具练习，那么会得到一枚银牌。,"A.如果小阳参加了轮滑鞋或滑板练习，那么不确定他会获得什么奖励。
B.如果小阳参加了轮滑鞋或滑板练习，那么他将获得银牌。
C.小阳喜欢平衡车。
D.小阳选了三种代步工具。",A,
115,if,AI,,某天，老师拿了羽毛球拍、乒乓球拍、网球拍到体育馆，让同学们选择球拍进行球类运动。因为同学们都不喜欢网球拍，所以没人选网球拍。若同学选了羽毛球拍和乒乓球拍进行运动，那么会得到一枚金牌。若同学选了羽毛球拍、乒乓球拍中的一种球拍运动，那么会得到一枚银牌。,"A.如果小凯参加了羽毛球拍或乒乓球拍运动，那么不确定他会获得什么奖励。
B.如果小凯参加了羽毛球拍或乒乓球拍运动，那么他将获得银牌。
C.小凯选了网球拍。
D.小凯选了三种球拍。",A,
116,if,AI,,有一天，老师带了积木块、乐高积木、雪花片到教室，让同学们选择玩具进行搭建。鉴于同学们都不喜欢雪花片，所以没人玩雪花片。要是同学选择积木块和乐高积木进行搭建，那么会得到一枚金牌。要是同学选择积木块、乐高积木中的一种玩具搭建，那么会得到一枚银牌。,"A.如果小莉拿了积木块或乐高积木，那么不确定他会获得什么奖励。
B.如果小莉拿了积木块或乐高积木，那么他将获得银牌。
C.同学们都喜欢雪花片。
D.小莉选了三种玩具。",A,
117,if,AI,,一天，老师带来了象棋盘、跳棋盘、围棋盘到教室，让同学们选择棋盘下棋。由于同学们都不喜欢围棋盘，所以没人选围棋盘。如果同学选择象棋盘和跳棋盘下棋，那么会得到一枚金牌。如果同学选择象棋盘、跳棋盘中的一种棋盘下棋，那么会得到一枚银牌。,"A.如果小豪拿了象棋盘或跳棋盘，那么不确定他会获得什么奖励。
B.如果小豪拿了象棋盘或跳棋盘，那么他将获得银牌。
C.小豪选了围棋。。
D.小豪选了三种棋盘。",A,
118,if,AI,,某天，老师拿了毛笔字帖、硬笔字帖、英文字帖到教室，让同学们选择字帖进行书法练习。因为同学们都不喜欢英文字帖，所以没人选英文字帖。若同学选择毛笔字帖和硬笔字帖进行练习，那么会得到一枚金牌。若同学选择毛笔字帖、硬笔字帖中的一种字帖练习，那么会得到一枚银牌。最后，小悠选择了毛笔字帖或硬笔字帖练习。,"A.如果小悠用毛笔字帖或硬笔字帖练习，那么不确定他会获得什么奖励。
B.如果小悠用毛笔字帖或硬笔字帖练习，那么他将获得银牌。
C.小悠选了英文字帖。
D.小悠选了三种字帖。",A,
119,if,AI,,有一天，老师带了彩铅、蜡笔、马克笔到美术教室，让同学们选择画笔进行绘画创作。鉴于同学们都不喜欢蜡笔，所以没人用蜡笔。要是同学选择彩铅和马克笔进行创作，那么会得到一枚金牌。要是同学选择彩铅、马克笔中的一种画笔创作，那么会得到一枚银牌。,"A.如果小泽用彩铅或马克笔进行创作，那么不确定他会获得什么奖励。
B.如果小泽用彩铅或马克笔进行创作，那么他将获得银牌。
C.小泽选了蜡笔。
D.小泽选了三种画笔。",A,
120,if,AI,,一天，老师带来了篮球、足球、排球到操场，让同学们选择球进行体育活动。由于同学们都不喜欢排球，所以没人选排球。如果同学选择篮球和足球进行活动，那么会得到一枚金牌。如果同学选择篮球、足球中的一种球进行活动，那么会得到一枚银牌。,"A.如果小宇参加了篮球或足球活动，那么不确定他会获得什么奖励。
B.如果小宇参加了篮球或足球活动，那么他将获得银牌。
C.同学们都喜欢排球。
D.小宇选了三种球。",A,
